ANCHO DE BANDA DESCARGA (MB),FINALIZACIÓN DEL CONTRATO,LATITUD,LONGITUD,DURACIÓN_RESTANTE_CONTRATO,"CALIDAD_CONECTIVIDAD (0=BAJA, 0.5=MEDIA, 1=ALTA)",ZONA_NUM,OPERADOR_NUM,PROYECTO_NUM,MUNICIPIO_NUM,ESTADO_NUM
12.0,2032-12-01,5.669186556,-73.94932768,2797,0.5,0,1,1,64,1
12.0,2032-12-01,5.654005595,-73.95356312,2797,0.5,0,1,1,64,1
12.0,2032-12-01,5.696122055,-74.03013417,2797,0.5,0,1,1,64,0
12.0,2032-12-01,5.733955485,-74.03936648,2797,0.5,0,1,1,64,0
15.0,2032-12-01,5.71028,-74.012787,2797,0.5,0,1,1,64,1
12.0,2032-12-01,5.651111,-72.293333,2797,0.5,0,1,1,65,0
12.0,2032-12-01,5.552680041,-72.34446204,2797,0.5,0,1,1,65,0
12.0,2032-12-01,5.66070757,-72.29687282,2797,0.5,0,1,1,65,0
15.0,2032-12-01,5.63082154,-72.29858604,2797,0.5,0,1,1,65,0
12.0,2032-12-01,6.00893871,-72.77197324,2797,0.5,0,1,1,66,1
12.0,2032-12-01,5.527481065,-73.08061532,2797,0.5,0,1,1,67,0
12.0,2032-12-01,5.563941,-73.081896,2797,0.5,0,1,1,67,0
12.0,2032-12-01,5.586586877,-73.06953655,2797,0.5,0,1,1,67,0
12.0,2032-12-01,5.51037,-73.046393,2797,0.5,0,1,1,67,0
12.0,2032-12-01,5.62016583,-73.01237237,2797,0.5,0,1,1,67,0
12.0,2032-12-01,5.607830705,-73.06245527,2797,0.5,0,1,1,67,0
12.0,2032-12-01,5.65860758,-72.50372261,2797,0.5,0,1,1,68,0
12.0,2032-12-01,5.722222,-72.484167,2797,0.5,0,1,1,68,0
15.0,2032-12-01,6.103691798,-74.45334402,2797,0.5,0,1,1,69,1
18.0,2032-12-01,5.909699293,-74.34039117,2797,0.5,0,1,1,69,1
12.0,2032-12-01,5.908937866,-74.34981383,2797,0.5,0,1,1,69,1
